Scoop up water	㧾水
Ladle out soup	㧾湯
Third son of a rich family	三少
Young pigeon or squab that has been roasted	乳鴿
Husband's second older brother	二少
This time	今勻
One dollar and sixty cents	個六
Rabbit	兔仔
Exit through turnstile	出閘
Chop something into cubes	切粒
Harvest the rice	割禾
Design a plan for use in construction	劃迹
Empty bus	吉車
To enjoy good luck	執福
Birthday banquet for an elderly person	壽酌
Large-sized pizza	大批
Music album	大碟
Double seven	孖七
A pair of legs	對腳
Pile of shit	屎餅
Yamen	崖門
Left-hand side	左便
Mr. Cheung	張蛇
Video disc	影碟
Bracelet	手鏈
Make a thick sheet by pasting pieces of paper or old cloth together	打撲
Transplant the rice seedlings	插禾
Knead clay	搓泥
Get a stool from one place and take it to another	擔櫈
Fork of a tree	樹丫
Water dipper	水殼
Porsche	波子
Noodles in soup	湯粉
Wan Chai district on HK. Island	灣仔
Cigarette butt	煙頭
Roast pork	燒肉
Ox's tail	牛尾
Mr. Wong	王蛇
Miss Kam	琴姐
Edible part of melon seeds	瓜仁
Manufactured ice	生雪
Leather boots	皮缽
Wo Che	禾輋
Arrow	箭嘴
Cooked and softened lotus root	粉藕
Candy jar	糖罌
Buy rice	糴米
Woolen jacket	絨褸
Spool	線轆
Lower one's body	縮低
Mother	老乸
Diced meat	肉粒
Stock market commentary	股經
Fat woman	肥婆
Plastic pipe	膠通
Dancing hostess	舞女
A flower pot	花盆
Tea dregs	茶渣
Kwai Chung	葵涌
Banquet celebrating a baby's first month of life	薑酌
Medicinal powder	藥粉
Humen	虎門
Fill a bowl with rice	裝飯
Pig's tail	豬尾
Mr. Kwong	鄺蛇
Gold necklace	金鏈
Aluminum basin	銻盆
Piggy bank	錢罌
Bottom of the wok	鑊篤
Mr. Wong	阿王
Miss Chen	陳姐
Two shoulders	雙膊
A length of string or strip that equals the circumference of one's shoe and is used by another person to buy shoes for him	鞋度
Necklace	頸鏈
Rice bowl	飯兜
Rice ladle	飯殼
Tall guy	高佬
White man	鬼佬
A piece of leather	一件皮
Twenty-four hours	一個對
One hour	一句鐘
A bag of books	一喼書
A block of wood	一嚿木
A lump of mud	一嚿泥
A jar of vinegar	一埕醋
A handful of rice	一執米
A ladder	一堂梯
A grindstone	一堂磨
A bridge	一度橋
A door	一度門
A row of mahjong tiles	一戙牌
A pile of bricks	一戙磚
A bunch of grass	一把草
A bunch of vegetables	一把菜
A string	一條線
A rope	一條繩
A bunch of bananas	一梳蕉
A blade of grass	一樖草
A basin of vegetables	一盆菜
A pan of mud	一篸泥
A grain of cereal	一粒穀
A spoonful of sugar	一羹糖
A clump of rice plants	一蔸禾
A building	一躉樓
Wife of husband's third brother	三少奶
Three trees	三樖樹
Three hours	三粒鐘
Three songs	三隻歌
Three cannons	三𥔿炮
Guy from Shanghai	上海仔
Nine railroad cars	九個卡
Abalone with the size and weight such that five of them weigh one catty	五頭鮑
Fifteen cents	亳半子
Debt of gratitude	人情債
Stand to one side	企歪啲
Upright piano	企身琴
You are very vicious	你惡晒
He pays for his car in installments	佢供車
He is in jail	佢坐監
Two lessons	兩堂課
Two pairs of shoes	兩對鞋
Two segments of an orange	兩楷橙
Two buildings	兩沓樓
Two lengths or sections of sugarcane	兩爽蔗
Two grains of rice	兩粒米
Two shoes	兩隻鞋
There's nothing to eat	冇得食
Create a stencil	刻蠟板
Architectural firm	則師樓
Butcher the ox	劏隻牛
Soup made with sponge gourd	勝瓜湯
Uplifting song	勵志歌
Abalone with the size and weight such that ten of them weigh one catty	十頭鮑
Nylon socks	原子襪
A naughty child	反斗星
Don't move!	咪喐！
Let's not talk about it right now	咪講住
Don't go just yet	咪走住
Don't go just yet	咪走自
The counting is inconsistent	唔啱數
Thanks in advance	唔該先
Stop talking about it for now	唔講住
Stop talking about it for the moment	唔講自
Sprinkle some water	啡啲水
That's right!	啱啊！
Perfect!	啱嘞！
It's completely right	啱晒喇
Cause the beans to sprout	啽芽菜
